"ID","X","Y","ph_0-30","MaxDepth"
"IGAC-VAC-CC162",-76.388420527,3.7532194111,8.22405157137174,118
"IGAC-VAC-CC163",-76.356554185,3.7740750008,7.86282035118191,133
"IGAC-VAC-CC164",-76.350342525,3.7643246502,8.41485745088972,110
"IGAC-VAC-CC165",-76.401412356,3.6691272278,7.58522357965337,135
"IGAC-VAC-CC166",-76.395805181,3.6614768147,7.70175907883951,135
"IGAC-VAC-CC167",-76.373227328,3.7139676746,8.2153639097112,120
"IGAC-VAC-CC168",-76.368387741,3.7085294938,7.97055115497245,115
"IGAC-VAC-CC169",-76.381825505,3.6593867217,7.80223297099565,70
"IGAC-VAC-CC17",-76.238533569,4.0778340292,6.33306382033734,150
"IGAC-VAC-CC170",-76.333924367,3.6884873212,7.36953940660049,145
"IGAC-VAC-CC171",-76.280985928,3.6558344761,7.40703232622494,140
"IGAC-VAC-CC172",-76.320973101,3.8399729233,7.63438399153595,135
"IGAC-VAC-CC173",-76.302291756,3.8849506398,5.81006117757082,85
"IGAC-VAC-CC174",-76.384452265,3.6512584966,8.00810061467894,150
"IGAC-VAC-CC175",-76.390684013,3.6526971348,8.22394651493764,145
"IGAC-VAC-CC176",-76.392088655,3.6820205886,7.47629181295154,140
"IGAC-VAC-CC177",-76.357440161,3.6800130999,8.19944011363827,145
"IGAC-VAC-CC178",-76.412144972,3.6604243836,8.10171189984974,127
"IGAC-VAC-CC179",-76.320587208,3.6611617066,8.25905988073212,140
"IGAC-VAC-CC18",-76.177814216,4.0949107513,6.28107468506576,130
"IGAC-VAC-CC180",-76.289821695,3.7147818597,6.5985524316351,140
"IGAC-VAC-CC181",-76.298090247,3.6298958181,6.45070851831371,140
"IGAC-VAC-CC182",-76.290719334,3.6196891103,6.9686008933563,105
"IGAC-VAC-CC183",-76.424995327,3.4228279406,6.60115151844645,120
"IGAC-VAC-CC184",-76.3545714,3.4030922258,7.56866883967655,155
"IGAC-VAC-CC185",-76.21218993,4.1084192501,7.68223864107706,130
"IGAC-VAC-CC19",-76.285471745,4.1121504056,6.71233065407154,115
"IGAC-VAC-CC20",-76.206726155,4.1135621142,6.64725202780129,120
"IGAC-VAC-CC21",-76.217722874,4.1177731007,7.06379056828639,135
"IGAC-VAC-CC22",-76.629644444,3.1432416667,4.80349143544189,160
"IGAC-VAC-CC23",-76.613609977,3.1564596463,5.57252140487888,150
"IGAC-VAC-CC244",-76.467299683,3.4707155795,5.63673197008723,137
"IGAC-VAC-CC30",-76.478801623,3.3422482686,5.42570428560232,150
"IGAC-VAC-CC321",-76.21388432,4.2834742345,6.67216457068083,138
"IGAC-VAC-CC322",-76.312258055,4.1585058055,6.17457176011082,150
"IGAC-VAC-CC323",-76.2279061,3.612176146,5.78890377069299,130
"IGAC-VAC-CC324",-76.261733999,3.523001776,6.75845540808568,125
"IGAC-VAC-CC325",-76.258105791,3.5004570715,7.06670149906065,130
"IGAC-VAC-CC326",-76.261197033,3.4693564349,6.91527008618901,130
"IGAC-VAC-CC327",-76.247122092,3.463552751,6.43058972317401,110
"IGAC-VAC-CC328",-76.436047181,3.4841693173,8.58875391062598,140
"IGAC-VAC-CC329",-76.315969699,3.4868945132,7.78414988860336,130
"IGAC-VAC-CC330",-76.416561859,3.3875763272,7.41158276024116,130
"IGAC-VAC-CC331",-76.363258564,3.454416914,6.85815622665055,140
"IGAC-VAC-CC332",-76.224566182,3.6048396147,6.4,130
"IGAC-VAC-CC333",-76.634763079,3.1512328836,4.65702836578279,130
"IGAC-VAC-CC334",-76.636757439,3.1393890079,4.90483397529324,125
"IGAC-VAC-CC335",-76.632855642,3.1338527431,5.87573108297879,125
"IGAC-VAC-CC336",-76.618796909,3.1424972046,4.61080456964378,130
"IGAC-VAC-CC339",-76.489134499,3.3864051565,5.63198307432707,140
"IGAC-VAC-CC340",-76.467115165,3.5919669668,7.2118141233515,130
"IGAC-VAC-CC401",-76.501213827,3.5351441793,6.95416380524083,150
"IGAC-VAC-CC402",-76.493117313,3.5303369274,7.15843781615134,90
"IGAC-VAC-CC403",-76.473482889,3.5478846419,7.3113988057227,130
"IGAC-VAC-CC404",-76.452529464,3.5465904125,7.67126617277142,80
"IGAC-VAC-CC405",-76.480688547,3.5174614605,6.25602969064848,150
"IGAC-VAC-CC406",-76.455070889,3.5308994523,7.67992119737478,150
"IGAC-VAC-CC407",-76.471022382,3.5314610556,5.26703470544727,120
"IGAC-VAC-CC408",-76.445910533,3.518237528,7.66516606139578,120
"IGAC-VAC-CC409",-76.474633775,3.5278012257,6.76843830939728,129
"IGAC-VAC-CC410",-76.447194796,3.5254289649,7.06032329196732,132
"IGAC-VAC-CC411",-76.403935211,3.5671452638,7.82071866500635,147
"IGAC-VAC-CC412",-76.473146566,3.549929211,6.98420548634469,122
"IGAC-VAC-CC413",-76.34119224,4.0798986141,6.83062444391096,100
"IGAC-VAC-CC414",-76.308022174,3.9253417184,6.4716769882148,150
"IGAC-VAC-CC481",-76.356726089,3.716214177,7.03441383362466,130
"IGAC-VAC-CC482",-76.378912874,3.7178789106,8.56627889062271,140
"IGAC-VAC-CC483",-76.421428551,3.7005075015,6.90167449026219,120
"IGAC-VAC-CC484",-76.414650498,3.6968983097,8.593031017032,140
"IGAC-VAC-CC485",-76.282344754,3.7967295123,6.71440641201064,130
"IGAC-VAC-CC486",-76.282394913,3.8006828092,6.80276150635552,90
"IGAC-VAC-CC487",-76.286394132,3.7948921991,7.11381276669132,120
"IGAC-VAC-CC488",-76.304619982,3.7808458322,6.25173037526095,100
"IGAC-VAC-CC489",-76.279493222,3.7876288637,6.87919624164746,130
"IGAC-VAC-CC490",-76.279544735,3.7901741517,6.34060252773581,103
"IGAC-VAC-CC491",-76.34653168,3.655787717,7.4244091462605,150
"IGAC-VAC-CC492",-76.414202364,3.6620059309,7.90033900603712,150
"IGAC-VAC-CC493",-76.361456533,3.6654442318,7.76740038546973,100
"IGAC-VAC-CC500",-76.558396866,3.1985732504,5.61833015573781,150
"IGAC-VAC-CC501",-76.547950142,3.197835446,5.90319465887027,140
"IGAC-VAC-CC506",-76.574541266,3.1734624095,4.9068583109944,150
"IGAC-VAC-CC507",-76.570329098,3.1825901717,4.37268725037967,140
"IGAC-VAC-CC512",-76.57991852,3.1165736458,4.94298113490287,120
"IGAC-VAC-CC519",-76.504103598,3.2670808242,5.88842786732459,125
"IGAC-VAC-CC522",-76.484795319,3.3828189028,5.39920364544201,132
"IGAC-VAC-CC523",-76.48979531,3.3689006313,5.40014337053089,130
"IGAC-VAC-CC524",-76.467998258,3.3639596107,5.6693768165684,130
"IGAC-VAC-CC525",-76.465838437,3.3534339359,5.86483646966828,130
"IGAC-VAC-CC561",-76.334418963,3.9942156245,5.9161369372158,147
"IGAC-VAC-CC562",-76.285600455,4.1252475152,5.7709041911444,140
"IGAC-VAC-CC563",-76.231702601,4.054150155,6.75294920077187,100
"IGAC-VAC-CC564",-76.276966123,4.051618168,7.2671720960349,150
"IGAC-VAC-CC565",-76.271681329,4.0562271147,6.6996326320795,145
"IGAC-VAC-CC566",-76.289604424,4.0721602325,6.69371821755107,140
"IGAC-VAC-CC567",-76.25368646,4.0464252099,6.58386999201089,150
"IGAC-VAC-CC568",-76.233267938,3.6671762338,6.44300031237451,110
"IGAC-VAC-CC569",-76.270846892,3.7405798659,6.19600581186925,110
"IGAC-VAC-CC570",-76.264106253,3.6962783658,6.91888148170661,130
"IGAC-VAC-CC571",-76.376636143,3.8295664311,6.24154871454315,156
"IGAC-VAC-CC572",-76.561240284,3.1668450204,5.87090089891395,147
"IGAC-VAC-CC573",-76.550919139,3.1769294274,5.59019995157937,150
"IGAC-VAC-CC576",-76.539905983,3.1572157154,4.89521301755675,135
"IGAC-VAC-CC583",-76.54142261,3.1798887418,4.88202533746624,146
"IGAC-VAC-CC584",-76.574344448,3.179350106,5.87765548191476,144
"IGAC-VAC-CC593",-76.338261014,3.7202038278,8.21064483836018,130
